firm_id,logA,A,xi,comp,x,y
1,0.381137857236894,1.4639494075197415,0.04949080303367351,1,1.2267405770789237,0.6887198228441747
2,-0.48186966523733143,0.617627554859822,-0.11170605229361065,1,-1.3557735260325128,0.6259702381903968
3,-0.3664711948979015,0.6931761032034068,-0.007071123740902884,3,-12.502373833298474,8.719178475546592
4,0.20587962766488369,1.2286053050045174,0.16100820159020232,2,11.650371001683773,3.256441410905416
5,0.1323422846693495,1.1414989700040525,-0.01811140352737338,1,-3.2675810203528037,0.29234989122287847
6,0.04154079435243174,1.042415685656963,-0.2639902095394366,1,-0.7179106527041783,-0.5861786668287511
7,-0.40303104895332703,0.6682913492545162,-0.24451255740546224,1,-2.1318116068941513,-0.5237549994697132
8,-0.37352038501630963,0.6883069550048252,-0.08913379840118606,1,1.4028480878506322,0.20310840738012098
9,-0.5281643722114726,0.5896864215850828,-0.28063704017130187,1,0.39680895566286395,0.20904907908713746
10,0.0972032332830016,1.1020843310791848,0.09086519528247722,1,-1.9434539739651953,-1.3245206955085274
11,0.7672397544702161,2.1538129886540642,0.3839569023644521,1,-0.07702888408912548,-0.807822097633796
12,-0.6220265968685096,0.5368553450305534,0.014697070682493946,2,13.64363003108253,4.1419390213384615
13,-0.26926378693183534,0.7639417112268698,-0.10853735691307881,1,0.6151070563950573,-0.6368210569970876
14,-0.5241602162019002,0.5920523516292069,0.034958365292519666,3,-7.997167415946759,7.367712601262919
15,-0.14416546010481657,0.8657444900337226,-0.04301435208378656,1,1.834776581452842,1.0343696889510146
16,0.19480206452398544,1.2150704571365456,-0.16366602003876404,2,9.278471331247538,3.961295948156283
17,-0.3396236386441868,0.7120382560230122,-0.49730963572872183,1,-1.8545790756394427,-0.04086157503529098
18,0.1273581522021677,1.1358237427171516,0.06862089408844264,2,10.565029689742566,2.0708556322546863
19,-0.40424590666844606,0.6674799633119555,0.19617592406159715,3,-4.237997765622041,5.411391517335262
20,-0.3493416592969468,0.7051521673149561,-0.15933216704158668,1,-1.0430190451790615,-1.1596053575464222
21,-0.20308962289000912,0.8162050874887444,-0.29063031356172225,1,-0.5351774063834396,0.45983368374726036
22,-0.5162018791721924,0.5967829024742062,-0.185707185326214,2,8.255334463073915,3.4796152688081246
23,0.27926487725274296,1.3221575069405076,-0.030742034840086967,3,-8.668311165281297,6.982961916858581
24,0.042351029413286674,1.0432606296488667,-0.058303494486729925,1,-0.982452694236976,0.39491318767643924
25,-0.8030047549739905,0.4479808670423083,-0.3749620996727506,2,19.09364396155144,1.7414087913050766
26,-0.01336996173210376,0.9867190192075671,0.001010298524714155,1,0.9496436255495682,-0.24998237417009164
27,-0.013160994156039014,0.9869252330345193,0.006022762016976138,2,8.417905080737352,3.8472396102805515
28,0.20600543673614766,1.2287598844204326,-0.042981645415859325,2,15.068887934599204,4.121862079119275
29,0.39125307388303104,1.4788327199989966,-0.15055289419445778,3,-9.081832192229832,4.751356327537543
30,-0.12905558706668896,0.8789251073190979,0.1391317534728723,2,7.902109062163235,2.834467637003073
31,0.22730118365610127,1.255207859107214,-0.03199582584907743,1,0.44452451155212624,-0.2091739062556688
32,0.1392913538014973,1.1494589504561408,-0.04105822663885126,1,3.6687957768570865,-0.9425843893564947
33,0.4574105171938559,1.5799773590070905,0.38691322106187875,3,-8.62328762829916,4.712599464620899
34,-0.1249207803162646,0.8825668164793574,-0.16710641741771431,2,7.827649186581058,3.8790005805494854
35,-0.08675236557830919,0.9169041245445331,-0.10593457813769551,1,-2.8922435766639967,-1.177635767194555
36,0.05916816895392438,1.0609536452033688,0.08402123278191118,3,-5.136870567059621,6.068174103909516
37,-0.4261204771548603,0.6530376612617024,0.1456090030278201,2,3.5780204401836175,3.6004955066477824
38,-0.6119489567309893,0.5422929330116084,-0.2316400056712537,1,-2.6475046000880615,-0.023927504063292894
39,0.1781363398109326,1.1949882345987317,0.07235296003217652,1,0.26013708599263785,-0.582025011364534
40,-0.0099171241343563,0.990131888386298,-0.1361374755544354,1,-2.4757690799894303,0.41362539671878573
41,0.18630063963616075,1.2047844118835942,0.20423123600266777,3,-2.5636391838857397,6.760395181723321
42,-0.5903149010423171,0.5541527539761605,-0.22099246415588564,2,7.220732027190841,5.570734374154553
43,0.25182600346556927,1.2863721935077261,0.025381153480520648,1,2.5855557205602233,0.9934649703975218
44,0.37854153038187044,1.4601534462690238,0.0659075517735107,1,-2.9670452270376337,1.5320866164457723
45,-0.15072503088436318,0.8600841627291563,-0.06068844727686259,1,0.6873617659602985,-0.011102515461608358
46,-0.46013763598666374,0.6311967641386506,-0.11289371795711098,2,9.743648220197644,5.24569184549647
47,-0.16882257832521122,0.8446587508627492,-0.0784268632886206,1,-3.3486652801148247,-0.025073883866425797
